"Clust","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Lat.100","Long.100","x","y"
"S.1036",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,57.2679239243677,-4.47077000960812,251100.001083524,822400.001956782
"S.1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,57.2858728452055,-4.47197339032299,251100.001083455,824400.00196089
"S.1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.2679564924649,-4.46911351793462,251200.001083288,822400.00195197
"S.1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.2545597779263,-4.46490072407509,251400.001082872,820900.001939345
"S.104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.31322202,-4.772088849,233140.001170125,828140.003123301
"S.1040",0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,57.2545922638896,-4.46324482474689,251500.001082639,820900.001934595
"S.1041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.255050848874,-4.46231375136832,251558.001082503,820949.001931949
"S.1042",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57.2555221838118,-4.46164880356274,251600.001082404,821000.001930065
"S.1043",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,57.256419639405,-4.46170868873818,251600.001082401,821100.00193027
"S.1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2568631841027,-4.46062731261758,251667.001082244,821147.001927197
"S.1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,57.2720114758469,-4.45478717670905,252080.001081237,822820.001911167
"S.1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.2709409994866,-4.45438414492403,252100.001081197,822700.001910002
