"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"S.1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12717986106873
"S.1049",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67942667007446,NA,NA,NA,NA,NA,NA
"S.105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13528534770012,NA,NA,NA,NA,NA
"S.1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65693783760071,NA,NA
"S.1051",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38936007022858,NA,NA,NA,1.65948760509491,NA,NA
"S.1052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42555999755859,NA,NA,NA,NA,NA
"S.1053",NA,NA,NA,NA,NA,NA,2.38033318519592,NA,3.81597638130188,NA,NA,NA,NA,NA,NA,NA
"S.1054",NA,NA,NA,NA,NA,2.50047707557678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52429175376892,NA,NA,NA,NA,NA,NA
"S.1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94461703300476,NA,NA,NA,NA
"S.1057",NA,NA,NA,NA,NA,NA,NA,NA,2.98307824134827,NA,NA,NA,NA,NA,NA,NA
"S.1058",NA,NA,NA,NA,NA,NA,NA,NA,2.98307824134827,NA,NA,NA,NA,NA,NA,NA
"S.1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0557074546814,NA,NA,NA,NA,NA,NA
"S.106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85055303573608
"S.1061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26870274543762,NA
"S.1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85055303573608
"S.1063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09774971008301,NA,NA,NA,NA
"S.1064",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3974689245224,NA,NA,NA,NA,NA,NA
"S.1065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63830459117889,NA,NA
"S.1067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76685804128647
"S.1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19759654998779,NA,NA,NA,NA,NA
"S.1069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41566157341003,NA,NA,NA,NA
"S.107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7201669216156,NA,NA,NA,NA,NA,NA
"S.1071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41071724891663,3.64386320114136,2.8372802734375,NA,NA,NA
"S.1072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92381596565247,NA,NA,NA,NA,NA
"S.1073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09622049331665,NA,NA,NA,NA
"S.1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.454230427742,2.86138982772827,NA,NA,NA,NA
"S.1077",NA,NA,NA,NA,NA,NA,NA,NA,1.84790408611298,NA,NA,NA,NA,NA,NA,NA
"S.1078",NA,NA,NA,NA,NA,NA,NA,4.09498739242554,NA,NA,NA,NA,NA,NA,NA,NA
"S.1079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77502608299255,NA,NA,NA,NA
"S.108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54945349693298,NA,NA
"S.1081",NA,NA,NA,NA,NA,NA,NA,NA,3.84976863861084,NA,NA,NA,NA,NA,NA,NA
"S.1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58016490936279,NA,NA,NA,NA
"S.1083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56533598899841,NA,NA
"S.1085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54556822776794,NA,NA,NA
