"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Lat.100","Long.100"
"S.1043",NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,57.256419639405,-4.46170868873818
"S.1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2568631841027,-4.46062731261758
"S.1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,57.2720114758469,-4.45478717670905
"S.1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.2709409994866,-4.45438414492403
"S.1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.2718708121319,-4.45278720105806
"S.1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.3786672704016,-4.45991704458582
"S.1049",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.2586346575161,-4.44029932412005
"S.105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,57.32535105,-4.776325624
"S.1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.2586668208193,-4.43864321154308
"S.1051",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,57.2882832606698,-4.44060304297544
"S.1052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.5701764934788,-4.45443220803792
"S.1053",NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,57.5710739088264,-4.45449264379042
"S.1054",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5137037444416,-4.44729667460522
"S.1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.2692540475611,-4.43022044273578
"S.1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.5128386610672,-4.4455689459726
"S.1057",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.4168449355673,-4.43749706182161
"S.1058",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.4176751700579,-4.43638646031307
"S.1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.8034004008383,-4.47530962025215
"S.106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32116519,-4.819036258
"S.1060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2787956826564,-4.42006510420867
"S.1061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.3837997065454,-4.42698309828152
"S.1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2815200293545,-4.41858473172272
"S.1063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.6873258359449,-4.43718502777752
"S.1064",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.2978657568951,-4.40969800401048
"S.1065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.2836645517921,-4.40047261967012
"S.1067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.2864203073986,-4.39733319760408
"S.1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.9219657869023,-4.43111638964131
"S.1069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.9211006799268,-4.42936921025144
