"","Area.stw","AWI","bogs","bogwoodland","conifer","deciduous","dist_conifer","dist_pine","dist_water","mire","mixedwood","moor","peat","pineforest","plantation","standingwater","dist.stw","pet_emerge","pet","tas_emerge","tas","wildness","elevation"
"1",0.875750541687012,0.160866796970367,0,0.0613129399716854,0.0105799874290824,0.421414911746979,0,0,0,0,0.0100701088085771,0.00242192484438419,0,0.0517527088522911,0.0209050346165895,0.0901210978627205,40,2.62049603462219,1.10192620754242,282.6787109375,280.779815673828,74,186.377990722656
"2",1.38229691982269,0,0,0,0,0,0,0,0,0,0,0.591204583644867,0,0,0,0,516.139526367188,2.24859738349915,1.17730462551117,280.699279785156,278.67578125,122,695.371154785156
"3",0.00637342408299446,0,0.0710006356239319,0,0,0.0333970673382282,0,0,0,0,0,0.885149776935577,50,0,0,0.0104525173082948,0,2.42581605911255,1.06981563568115,282.024169921875,279.933380126953,109,296.077514648438
"4",0.0101249013096094,0,0.2225621342659,0,0,0,0,0,0,0,0,0.355640530586243,50,0,0,0.0165710635483265,60.8276252746582,2.72542929649353,1.23022937774658,282.090576171875,279.950225830078,99,281.262725830078
"5",0.00125146517530084,0.282345443964005,0,0,0.000892288109753281,0,0,0,0,0,0,0.199107706546783,50,0.163416191935539,0.147355005145073,0,810.246887207031,2.59845972061157,1.16869044303894,282.18701171875,280.056671142578,92,240.069915771484
"6",0.0109382383525372,0.607775628566742,0,0.0174633525311947,0.0165710635483265,0.105417460203171,0,0,0,0,0.0826003849506378,0.0105799874290824,50,0.0512428283691406,0.479541122913361,0.0141491396352649,336.154724121094,2.48500061035156,1.11813247203827,283.206756591797,281.083740234375,82,99.8241195678711
"7",0.0626433789730072,0.175653278827667,0,0,0.0156787764281034,0.161886557936668,0,0,0,0,0,0.580624580383301,0,0.143658384680748,0.0161886550486088,0.0297004468739033,50,2.3413302898407,0.93827897310257,282.453765869141,280.376556396484,81,268.717315673828
"8",0.00772403413429856,0.0131293814629316,0.175525814294815,0,0,0.00356915243901312,0,0,0,0,0.0497131943702698,0.202804327011108,35,0.0749522000551224,0.0671765431761742,0.0448693446815014,0,2.45873427391052,1.03881871700287,282.077819824219,279.973968505859,86,313.155059814453
"9",0.000860340136568993,0,0.135117903351784,0,0,0,0,0,0,0,0,0.567240297794342,50,0,0,0.0163161251693964,50,2.67410945892334,1.2087367773056,281.729644775391,279.590301513672,98,305.492492675781
"10",0.280283242464066,0.0130019122734666,0.0500956028699875,0.00560866808518767,0.0506054796278477,0.040662843734026,0,0,0,0,0,0,0,0,0,0.357934981584549,0,2.64159345626831,1.15827190876007,282.784301757812,280.624053955078,84,204.670059204102
"11",5.18056774139404,0.0138942003250122,0.0466539189219475,0,0,0,0,0,0,0,0,0.427915871143341,35,0.0985340997576714,0.000637348624877632,0.0414276607334614,44.7213592529297,2.59876418113708,1.11520600318909,282.175537109375,280.066802978516,83,278.200531005859
"12",0.325974315404892,0.028553219512105,0.056469090282917,0,0.00994263868778944,0,0,0,0,0,0,0.561886548995972,35,0,0.0151688978075981,0.106182284653187,208.806137084961,2.73455095291138,1.23940908908844,282.005187988281,279.861389160156,93,305.260162353516
"13",0.0477919690310955,0.0995538532733917,0.00548119843006134,0,0.220650091767311,0,0,0,0,0,0,0,50,0.326577425003052,0.283620148897171,0.0613129399716854,10,2.53793406486511,1.09820854663849,282.579406738281,280.414733886719,83,217.766510009766
"14",0.00637342408299446,0,0.0739324390888214,0,0,0.0344168245792389,0,0,0,0,0,0.881198227405548,50,0,0,0.0104525173082948,0,2.42581605911255,1.06981563568115,282.024169921875,279.933380126953,105,297.136444091797
"15",0.317436993122101,0,0.166093051433563,0,0,0,0,0,0,0,0,0.261822819709778,50,0,0,0.0137667302042246,460.108673095703,2.72864294052124,1.2434937953949,281.876159667969,279.737884521484,108,303.231597900391
"16",0.0324542671442032,0.582791566848755,0,0,0.0355640538036823,0.253027409315109,0,0,0,0,0.386360734701157,0,0,0.0628425776958466,0.0446144044399261,0.0246016569435596,215.870330810547,2.57251977920532,1.14005029201508,282.625823974609,280.46875,70,150.526947021484
"17",0.0323883965611458,0.147992357611656,0.152071386575699,0,0.0280433390289545,0.0860420614480972,0,0,0,0,0.00484384968876839,0,0,0,0.00637348648160696,0.0514977686107159,0,2.49340915679932,1.06659245491028,282.672698974609,280.508666992188,116,203.501022338867
"18",0.00944352895021439,0.381899297237396,0.155003190040588,0,0.225111529231071,0.104142762720585,0,0,0,0,0.00675589544698596,0,50,0,0.190057367086411,0.0490758456289768,0,2.4912269115448,1.07718741893768,283.193023681641,281.029388427734,137,181.180160522461
"19",0.00314795062877238,0.218228176236153,0,0.0452517531812191,0.11421287804842,0.0344168245792389,0,0,0,0,0.0479286164045334,0.000892288109753281,0,0,0.00790312327444553,0.0534098148345947,98.9949493408203,2.70069146156311,1.22751367092133,283.128387451172,280.996032714844,45,119.660293579102
"20",0.0114709045737982,0.345825374126434,0,0.0608030594885349,0.192606762051582,0.0302103254944086,0,0,0,0,0.0801784545183182,0.00624601636081934,0,0,0.00382409174926579,0.0526449978351593,50,2.70069146156311,1.22751367092133,283.128387451172,280.996032714844,52,122.468109130859
"21",0.000538415508344769,0.19745060801506,0.083492673933506,0,0.09649458527565,0.0432122386991978,0,0,0,0,0.0613129399716854,0.134353086352348,0,0.00535372830927372,0.398725301027298,0.0142766097560525,22.3606796264648,2.47974300384521,1.09732377529144,282.757995605469,280.593627929688,56,197.575820922852
